Laboratorio,Nome do coordenador,ATENCAO,Nome Oficial,BATEU,PROVAVELMENTE ERRADO
Laboratorio de Estudos em Turismo e Sustentabilidade,helena costa,,helena araujo costa,,
Laboratorio de Estudos em Turismo e Sustentabilidade,elimar pinheiro do nascimento,,josiane do socorro aguiar de souza de oliveira campos,,
Centro de Memoria Digital,celso silva fonseca,,celso silva fonseca,,
Laboratorio de Populacao e Desenvolvimento do Nucleo de Estudos Urbanos e Regionais,ana maria nogales,,ana maria nogales vasconcelos,,
Nucleo de Estudos sobre Diversidade Sexual e de Genero,tatiana lionc,,tatiana barbosa rosado,,
Nucleo de Estudos sobre Diversidade Sexual e de Genero,valdenizia peixoto,,eduardo peixoto fernandes da silva,,
Nucleo de Estudos Sobre o Pensamento Italiano,alex s calheiros de moura,,alex sandro calheiros de moura,,
Nucleo de Estudos Sobre o Pensamento Italiano,herivelto p de souza,,herivelto pereira de souza,,
Nucleo de Estudos Sul-Americanos,virgilio arraes,,virgilio caixeta arraes,,
Nucleo de Estudos Sul-Americanos,carlos eduardo vidigal,,carlos eduardo vidigal,,
Nucleo de Estudos Afro-Brasileiros,renisia cristina garcia filice,,renisia cristina garcia filice,,
Nucleo de Estudos Agrarios,clarice aparecida dos santos,,clarice aparecida dos santos,,
Nucleo de Estudos Agrarios,caroline siqueira gomide,,caroline siqueira gomide,,
Nucleo de Estudos Amazonicos,manoel pereira anade,,manoel pereira de andrade,,
Nucleo de Estudos Asiaticos,marcus tanaka de lira,,marcus vinicius de lira ferreira tanaka,,
Nucleo de Estudos Caribenhos e Latino-Americanos,virgilio arraes,,virgilio caixeta arraes,,
Nucleo de Estudos Cubanos,martin jacques i novion,,cristiano jacques miosso rodrigues mendes,,
Nucleo de Estudos Cubanos,felipe canova goncalves,,felipe canova goncalves,,
Nucleo de Estudos da Cultura e da Tradicao Classicas,gilson charles dos santos,,gilson charles dos santos,,
"Nucleo de Estudos da Cultura, Oralidade, Imagem e Memoria do Centro-Oeste",jose walter nunes,,jose roberto de souza de almeida leite,,
"Nucleo de Estudos da Cultura, Oralidade, Imagem e Memoria do Centro-Oeste",selma pantoja,,selma aparecida souza kuckelhaus,,
Nucleo de Estudos da Educacao e Promocao da Saude e Projetos Inclusivos,maria raquel gomes,,maria raquel gomes maia pires,,
Nucleo de Estudos da Educacao e Promocao da Saude e Projetos Inclusivos,anea goncalves,,luiz claudio goncalves de castro,,
Nucleo de Estudos da Infancia e Juventude,maria lucia leal,,maria lucia pinto leal,,
Nucleo de Estudos de Linguagem e Sociedade,viviane resende,,viviane de melo resende,,
"Nucleo de Estudos de Organizacoes Multilaterais, Negocios Internacionais, Turismo e Logistica",ricardo wahrendorff caldas,,ricardo wahrendorff caldas,,
Nucleo de Estudos de Saude Publica,ana valeria machado,,ana valeria machado mendonca,,
Nucleo de Estudos de Saude Publica,claudio fortes garcia lorenzo,,claudio fortes garcia lorenzo,,
